Position,Name,Team,Opponent,Predicted_DK_Points,Ceiling,Floor,ID,Salary,Adjusted_Projection,Quality_Tier,Value,GPP_Score,AvgPointsPerGame
RB,Christian McCaffrey,SF,ATL,22.51,29.263,13.506,40442143.0,8500,28.137500000000003,Elite,3.310294117647059,28.92535,28.137500000000003
RB,Bijan Robinson,ATL,SF,21.0,27.3,12.6,40442145.0,8300,25.2,Elite,3.036144578313253,26.67,25.2
WR,Amon-Ra St. Brown,DET,TB,19.7,25.61,11.82,40442217.0,8200,23.639999999999997,Elite,2.8829268292682926,25.019,23.639999999999997
QB,Baker Mayfield,TB,DET,19.66,25.558,11.796,40442123.0,6600,21.626,Elite,3.276666666666667,24.3784,21.626
WR,Jaxon Smith-Njigba,SEA,HOU,19.09,24.817,11.454,40442219.0,7900,21.9535,Elite,2.778924050632911,23.95795,21.9535
QB,Jared Goff,DET,TB,18.72,24.336,11.232,40442124.0,6000,18.72,Standard,3.1199999999999997,22.651199999999996,18.72
RB,Jahmyr Gibbs,DET,TB,17.96,23.348000000000003,10.776,40442147.0,7500,20.654,Elite,2.7538666666666667,22.539800000000003,20.654
RB,Rachaad White,TB,DET,16.42,21.346000000000004,9.852,40442151.0,6400,16.42,Standard,2.5656250000000003,19.8682,16.42
WR,Drake London,ATL,SF,16.08,20.904,9.647999999999998,40442227.0,6200,16.08,Standard,2.593548387096774,19.4568,16.08
QB,Mac Jones,SF,ATL,16.05,20.865,9.63,40442126.0,5600,16.05,Standard,2.866071428571429,19.4205,16.05
QB,Sam Darnold,SEA,HOU,15.76,20.488,9.456,40442127.0,5400,15.76,Standard,2.918518518518518,19.0696,15.76
WR,Nico Collins,HOU,SEA,15.66,20.358,9.396,40442221.0,7100,15.66,Standard,2.2056338028169016,18.9486,15.66
QB,Michael Penix Jr.,ATL,SF,15.26,19.838,9.156,40442129.0,4800,15.26,Standard,3.1791666666666667,18.464599999999997,15.26
QB,C.J. Stroud,HOU,SEA,15.25,19.825,9.15,40442128.0,5200,15.25,Standard,2.9326923076923075,18.4525,15.25
WR,Mike Evans,TB,DET,14.32,18.616,8.592,40442225.0,6500,14.32,Standard,2.203076923076923,17.327199999999998,14.32
TE,George Kittle,SF,ATL,12.34,16.042,7.404,40442343.0,4400,14.191,Elite,3.225227272727272,15.4867,14.191
WR,Kendrick Bourne,SF,ATL,12.14,15.782000000000002,7.284,40442233.0,5200,12.14,Standard,2.3346153846153848,14.6894,12.14
TE,Sam LaPorta,DET,TB,12.12,15.756,7.271999999999999,40442345.0,4300,12.12,Standard,2.8186046511627905,14.6652,12.12
RB,Kenneth Walker III,SEA,HOU,11.84,15.392,7.104,40442153.0,5600,11.84,Standard,2.1142857142857143,14.326399999999998,11.84
RB,David Montgomery,DET,TB,11.6,15.08,6.96,40442155.0,5500,11.6,Standard,2.109090909090909,14.036,11.6
WR,Jameson Williams,DET,TB,11.02,14.326,6.611999999999999,40442235.0,5000,11.02,Standard,2.2039999999999997,13.3342,11.02
WR,Cooper Kupp,SEA,HOU,9.99,12.987,5.994,40442239.0,4800,9.99,Standard,2.0812500000000003,12.0879,9.99
