Position,Name,Team,Opponent,Predicted_DK_Points,Ceiling,Floor,ID,Salary,Adjusted_Projection,Quality_Tier,Value,GPP_Score,AvgPointsPerGame
DST,Falcons,ATL,SF,5.9,8.26,2.95,40442412,2800,6.785,Standard,2.107142857,7.8175,6.785
RB,Christian McCaffrey,SF,ATL,22.51,29.263,13.506,40442143,8500,28.1375,Elite,3.310294118,28.92535,28.1375
RB,Bijan Robinson,ATL,SF,21,27.3,12.6,40442145,8300,25.2,Elite,3.036144578,26.67,25.2
WR,Amon-Ra St. Brown,DET,TB,19.7,25.61,11.82,40442217,8200,23.64,Elite,2.882926829,25.019,23.64
QB,Baker Mayfield,TB,DET,19.66,25.558,11.796,40442123,6600,21.626,Elite,3.276666667,24.3784,21.626
WR,Jaxon Smith-Njigba,SEA,HOU,19.09,24.817,11.454,40442219,7900,21.9535,Elite,2.778924051,23.95795,21.9535
QB,Jared Goff,DET,TB,18.72,24.336,11.232,40442124,6000,18.72,Standard,3.12,22.6512,18.72
RB,Jahmyr Gibbs,DET,TB,17.96,23.348,10.776,40442147,7500,20.654,Elite,2.753866667,22.5398,20.654
RB,Rachaad White,TB,DET,16.42,21.346,9.852,40442151,6400,16.42,Standard,2.565625,19.8682,16.42
WR,Drake London,ATL,SF,16.08,20.904,9.648,40442227,6200,16.08,Standard,2.593548387,19.4568,16.08
QB,Mac Jones,SF,ATL,16.05,20.865,9.63,40442126,5600,16.05,Standard,2.866071429,19.4205,16.05
QB,Sam Darnold,SEA,HOU,15.76,20.488,9.456,40442127,5400,15.76,Standard,2.918518519,19.0696,15.76
WR,Nico Collins,HOU,SEA,15.66,20.358,9.396,40442221,7100,15.66,Standard,2.205633803,18.9486,15.66
QB,Michael Penix Jr.,ATL,SF,15.26,19.838,9.156,40442129,4800,15.26,Standard,3.179166667,18.4646,15.26
QB,C.J. Stroud,HOU,SEA,15.25,19.825,9.15,40442128,5200,15.25,Standard,2.932692308,18.4525,15.25
WR,Mike Evans,TB,DET,14.32,18.616,8.592,40442225,6500,14.32,Standard,2.203076923,17.3272,14.32
TE,George Kittle,SF,ATL,12.34,16.042,7.404,40442343,4400,14.191,Elite,3.225227273,15.4867,14.191
WR,Kendrick Bourne,SF,ATL,12.14,15.782,7.284,40442233,5200,12.14,Standard,2.334615385,14.6894,12.14
TE,Sam LaPorta,DET,TB,12.12,15.756,7.272,40442345,4300,12.12,Standard,2.818604651,14.6652,12.12
RB,Kenneth Walker III,SEA,HOU,11.84,15.392,7.104,40442153,5600,11.84,Standard,2.114285714,14.3264,11.84
RB,David Montgomery,DET,TB,11.6,15.08,6.96,40442155,5500,11.6,Standard,2.109090909,14.036,11.6
WR,Jameson Williams,DET,TB,11.02,14.326,6.612,40442235,5000,11.02,Standard,2.204,13.3342,11.02
WR,Cooper Kupp,SEA,HOU,9.99,12.987,5.994,40442239,4800,9.99,Standard,2.08125,12.0879,9.99
WR,Jauan Jennings,SF,ATL,9.83,12.779,5.898,40442241,4700,9.83,Standard,2.091489362,11.8943,9.83
RB,Nick Chubb,HOU,SEA,9.44,12.272,5.664,40442161,5000,9.44,Standard,1.888,11.4224,9.44
WR,Emeka Egbuka,TB,DET,9.05,11.765,5.43,40442223,7000,9.05,Standard,1.292857143,10.9505,9.05
RB,Woody Marks,HOU,SEA,8.95,11.635,5.37,40442157,5200,8.95,Standard,1.721153846,10.8295,8.95
TE,Kyle Pitts Sr.,ATL,SF,8.58,11.154,5.148,40442347,3800,8.58,Standard,2.257894737,10.3818,8.58
RB,Zach Charbonnet,SEA,HOU,8.44,10.972,5.064,40442159,5100,8.44,Standard,1.654901961,10.2124,8.44
TE,Dalton Schultz,HOU,SEA,8.01,10.413,4.806,40442351,3600,8.01,Standard,2.225,9.6921,8.01
WR,Darnell Mooney,ATL,SF,7.83,10.179,4.698,40442243,4700,7.83,Standard,1.665957447,9.4743,7.83
DST,Seahawks,SEA,HOU,7.1,9.94,3.55,40442410,3000,8.165,Standard,2.366666667,9.4075,8.165
TE,AJ Barner,SEA,HOU,7.7,10.01,4.62,40442355,3300,7.7,Standard,2.333333333,9.317,7.7
TE,Cade Otton,TB,DET,7.42,9.646,4.452,40442349,3700,7.42,Standard,2.005405405,8.9782,7.42
WR,Sterling Shepard,TB,DET,7.37,9.581,4.422,40442245,4500,7.37,Standard,1.637777778,8.9177,7.37
DST,Lions,DET,TB,6.1,8.54,3.05,40442409,3100,7.015,Standard,1.967741935,8.0825,7.015
RB,Tyler Allgeier,ATL,SF,6.57,8.541,3.942,40442165,4800,6.57,Standard,1.36875,7.9497,6.57
,,,,,,,,,,,,,
RB,Sean Tucker,TB,DET,6.43,8.359,3.858,40442169,4400,6.43,Standard,1.461363636,7.7803,6.43
WR,Tez Johnson,TB,DET,6.34,8.242,3.804,40442247,4200,6.34,Standard,1.50952381,7.6714,6.34
DST,Texans,HOU,SEA,5.5,7.7,2.75,40442413,2700,6.325,Standard,2.037037037,7.2875,6.325
DST,49ers,SF,ATL,5.2,7.28,2.6,40442411,2900,6.578,Value,inf,7.0694,6.578
WR,Tory Horton,SEA,HOU,5.46,7.098,3.276,40442257,3600,5.46,Standard,1.516666667,6.6066,5.46
WR,Jayden Higgins,HOU,SEA,5.34,6.942,3.204,40442259,3500,5.34,Standard,1.525714286,6.4614,5.34
DST,Buccaneers,TB,DET,4.1,5.74,2.05,40442414,2400,4.715,Standard,1.708333333,5.4325,4.715
WR,Xavier Hutchinson,HOU,SEA,4.41,5.733,2.646,40442253,3900,4.41,Standard,1.130769231,5.3361,4.41
WR,Isaac TeSlaa,DET,TB,4.41,5.733,2.646,40442273,3100,4.41,Standard,1.422580645,5.3361,4.41
WR,Demarcus Robinson,SF,ATL,4.09,5.317,2.454,40442263,3300,4.09,Standard,1.239393939,4.9489,4.09
RB,Brian Robinson Jr.,SF,ATL,3.79,4.927,2.274,40442167,4500,3.79,Standard,0.842222222,4.5859,3.79
WR,Jaylin Noel,HOU,SEA,3.61,4.693,2.166,40442265,3300,3.61,Standard,1.093939394,4.3681,3.61
WR,Kameron Johnson,TB,DET,3.52,4.576,2.112,40442261,3400,3.52,Standard,1.035294118,4.2592,3.52
TE,Jake Tonges,SF,ATL,3.25,4.225,1.95,40442353,3400,3.25,Standard,0.955882353,3.9325,3.25
