Name,Pos,Team,Salary,My_Proj,Source,ML_Prediction,PPG_Projection,Prob_Over_5,Prob_Over_10,Prob_Over_15,Prob_Over_20,Prob_Over_25,Prob_Over_30,Prob_Over_35,Prob_Over_40,Prob_Over_45,Prob_Over_50
Jordan Westburg,2B,BAL,3700,24.892300712718527,ML_Model,24.892300712718527,7.6,99.4%,96.9%,89.2%,73.0%,49.5%,26.2%,10.3%,2.9%,0.6%,0.1%
James Wood,OF,WAS,6300,24.195405781638847,ML_Model,24.195405781638847,10.1,99.2%,96.2%,87.5%,70.0%,46.0%,23.4%,8.8%,2.4%,0.5%,0.1%
Davis Schneider,2B,TOR,2400,20.73979523310117,ML_Model,20.73979523310117,1.6,97.5%,91.0%,76.3%,53.7%,29.7%,12.4%,3.7%,0.8%,0.1%,0.0%
Trent Grisham,OF,NYY,4200,18.70422191652611,ML_Model,18.70422191652611,8.2,95.7%,86.2%,67.8%,43.6%,21.6%,7.9%,2.1%,0.4%,0.1%,0.0%
Wilyer Abreu,OF,BOS,4400,18.678287610514506,ML_Model,18.678287610514506,1.0,95.6%,86.1%,67.7%,43.4%,21.5%,7.9%,2.1%,0.4%,0.1%,0.0%
Alex Call,OF,WAS,3100,17.667018434081456,ML_Model,17.667018434081456,0.6,94.3%,83.1%,63.1%,38.5%,18.0%,6.2%,1.5%,0.3%,0.0%,0.0%
Addison Barger,3B,TOR,3900,16.92530187830643,ML_Model,16.92530187830643,9.7,93.2%,80.7%,59.5%,35.0%,15.6%,5.1%,1.2%,0.2%,0.0%,0.0%
Kyle Stowers,OF,MIA,4900,16.799387006152543,ML_Model,16.799387006152543,7.6,93.0%,80.2%,58.9%,34.5%,15.3%,4.9%,1.1%,0.2%,0.0%,0.0%
Max Scherzer,P,TOR,7500,16.7,PPG_Projection,16.7,16.7,,,,,,,,,,
Aaron Judge,OF,NYY,6600,16.688306703235284,ML_Model,16.688306703235284,12.7,92.8%,79.8%,58.4%,33.9%,14.9%,4.8%,1.1%,0.2%,0.0%,0.0%
Carlos Rodon,P,NYY,10000,16.5,PPG_Projection,16.5,16.5,,,,,,,,,,
Pete Crow-Armstrong,OF,CHC,5500,16.11851194573886,ML_Model,16.11851194573886,10.1,91.8%,77.8%,55.6%,31.4%,13.3%,4.1%,0.9%,0.1%,0.0%,0.0%
